Show,Character,Dialogue,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Physical,health,illness,wellness,mental,substances,sexual,food,death,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
Blue Bloods,"Michael Reagan
Orator","Boat leaves in ten minutes, Dad.
It is with profound praise and gratitude that we welcome you new recruits here today...
...proud that you have answered the call to service and today join the ranks of New York’s finest.
You have earned the distinction of being the best trained and best prepared police officers in the world, ready to serve and protect the most vibrant city in the world...
...in one of the most demanding policing environments anyplace, anywhere. To whom every day brings the responsibility of keeping all New Yorkers safe from crime and the threat of terrorism. And though the city is on the very cutting edge of technology, nothing replaces your eyes and ears on the street...
...and we remain safe because of the hard work and dedication of the men and women of the New York City Police Department. Congratulations to your families, your friends...
...and congratulations to you, our new New York City police officers!
You okay in all this, Pop?
I’m so proud of you, Jamie.
I know who she is. First woman recruit to win the sharpshooter medal. Well done.
Well, the gang’s all here, we should be getting over to O’Dells.
Joe died doing what he loved to do, Linda. Being a policeman.
Missing... where?
You bet.
So what's going on?
Long as you know you’ve got all the resources you need.
Okay, a brief statement before I take questions. I want to thank the media for keeping Teresa’s face before the public. Our task force has followed up on over 500 tips and I want to I assure you that the police department will not rest until we find this little girl.
Miguel, you’re a professional reporter and you wanna give credence to any amateur blogger with a laptop and an axe to grind?
Since I’ve been on the job, those stats are down across the board.
All due respect, Miss Lahari, none of us is worried about cost today. A 9-year-old girl is missing, the clock is ticking and it’s all about the recovery of Teresa. Just make sure you media people do your part and keep her face in front of the public before you run off chasing Tiger Woods’ latest girlfriend.
Thanks, Mayor.
We’re doing everything we can.
If you mean Detective First Grade Brian Reagan, that’s right.
Truthfully, I don’t spend a lot of time worrying about that.",1,402,67.84,97.88,28.11,97.96,11.49,15.67,72.39,67.41,53.98,13.93,10.45,1.99,2.24,4.98,0.75,0,3.48,16.17,8.46,1.49,14.18,7.71,3.73,6.72,1,14.18,6.72,5.72,8.71,7.71,1,1.74,1.24,0.5,0.5,0,0,0,1.49,0.25,0.25,0,0,0,0,0,0.25,23.13,12.94,4.98,1,0.25,3.48,0.5,0
Blue Bloods,Patrick,"I’ve never been late in my life.
I’m not an invalid, I had a hip replacement.
How you doing, Billy? Sorry to hear about Louise.
How the hell are we gonna find anybody in this mess?
She leave the rest of that dress at home?
Callahan, you old fart.
He was a horse’s ass then and he’s a horse’s ass now.
Quite the peacock, your friend.",1,66,17.69,49.07,79.84,6.9,7.33,7.58,81.82,71.21,62.12,21.21,16.67,6.06,1.52,4.55,4.55,0,4.55,16.67,10.61,0,10.61,13.64,9.09,3.03,3.03,18.18,3.03,1.52,7.58,0,1.52,0,0,0,0,0,0,6.06,6.06,0,0,0,0,0,0,0,0,27.27,9.09,6.06,4.55,0,7.58,0,0
Blue Bloods,Nicky,I can’t find my Ipod.,1,5,1,1,99,,5,0,80,80,60,40,40,40,0,0,0,0,0,20,0,0,0,20,0,0,20,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,0,0,0,20,0,0
Blue Bloods,Erin,"Kitchen. And the skirt?
Dad! Over here!
And this is an improvement.
Anyway, we still have a lawyer in the family. Me?
She seems to be handling this pretty well, you being a cop.",1,34,22.63,99,12.44,95.42,4.25,8.82,85.29,79.41,73.53,17.65,11.76,2.94,2.94,2.94,2.94,0,5.88,20.59,14.71,0,8.82,11.76,14.71,5.88,0,17.65,2.94,0,5.88,5.88,0,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,2.94,0,29.41,11.76,5.88,5.88,5.88,0,0,0
Blue Bloods,Linda,"Brian? Honey? You know the Verranzano at this hour...
Brian!
We’d have another one if these two would set a date.
Can’t be easy after watching you bury your brother.",1,30,6.39,99,39.59,97.84,5,13.33,76.67,73.33,60,23.33,13.33,0,3.33,10,0,0,10,26.67,6.67,6.67,6.67,16.67,0,6.67,3.33,20,3.33,13.33,6.67,6.67,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0,3.33,0,33.33,16.67,0,6.67,3.33,6.67,0,0
Blue Bloods,Sydney,"‘scuse me, officer, aren’t you forgetting something?
And spoil all the fun?
Congratulations.
Your father said.
Sorry but second-year associates don’t get lunch. I’m lucky they let me out for this. It was amazing.
Subway’s quicker. Stay with your family. Bye everybody.",1,42,7.34,93.83,56.69,98.65,4.2,23.81,80.95,71.43,50,26.19,16.67,7.14,0,7.14,0,2.38,9.52,11.9,2.38,0,7.14,9.52,0,4.76,4.76,21.43,9.52,2.38,11.9,9.52,2.38,7.14,7.14,0,0,0,0,0,2.38,0,0,0,0,0,0,2.38,0,42.86,19.05,4.76,4.76,0,9.52,4.76,0
Blue Bloods,Jamie,"Thanks, Dad.
Don’t bust my chops, Brian.
We’ve got enough going on right now with me changing careers.
Dad, this is Officer Romano.
She won the sharpshooter medal.
I'll get you a cab.
Thanks, we were just talking about him.
Your nephew was in my class, right?
No, I didn’t know that. No kidding?
Yeah, he was.
Law school.
It’s in the blood I suppose.
It’s gonna be hard to live up to.
Brian’s Brian.",1,75,12.09,70.96,35.01,92.7,5,9.33,73.33,70.67,54.67,22.67,17.33,8,2.67,2.67,4,0,5.33,14.67,4,0,12,16,4,0,5.33,29.33,2.67,1.33,5.33,5.33,0,0,0,0,0,0,0,0,2.67,0,0,0,0,0,0,0,0,38.67,17.33,9.33,2.67,0,9.33,0,0
Blue Bloods,"Old Retired Cop
Callahan","Nice speech, Mikey. But here’s the guy who could raise the rafters. Isn’t that right, Pat?
You’ll be a fine chief, Mikey, like your old man here. Just don’t let them play politics with you like they did with him. And that bum they replaced him with. It was a damn shame, Pat. Everybody thinks so.",1,56,7.34,98.42,2.36,75.77,7,7.14,78.57,71.43,60.71,23.21,16.07,0,0,5.36,3.57,5.36,7.14,12.5,7.14,0,8.93,12.5,7.14,5.36,3.57,16.07,7.14,0,8.93,5.36,1.79,1.79,0,1.79,0,0,0,1.79,0,0,0,0,0,0,0,0,0,30.36,12.5,8.93,1.79,0,7.14,0,0
Blue Bloods,Jack,"Mom, did he say “fart?”
Grandpa, can I ride up front with the driver?",1,14,76.24,79.51,24.32,,7,7.14,64.29,57.14,50,14.29,14.29,7.14,0,0,7.14,0,0,7.14,7.14,0,14.29,14.29,0,0,0,21.43,0,0,7.14,0,0,0,0,0,0,0,0,7.14,7.14,0,0,0,0,0,0,0,0,42.86,0,14.29,14.29,0,0,14.29,0
Blue Bloods,Maria,"Hey, Reagan, we made it!
Congratulations, Chief Reagan.
Thank you, sir. Just wanted to say hello. -- You must be Sydney, right?
Thanks.
See you around, Reagan.",1,26,21.6,99,1,99,3.71,3.85,76.92,69.23,38.46,19.23,15.38,0,3.85,11.54,0,0,3.85,0,0,0,7.69,7.69,7.69,0,0,30.77,3.85,0,15.38,15.38,0,3.85,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.69,19.23,23.08,3.85,3.85,0,7.69,0
